"geneID","varExps","congruence","score"
"K01921",1,1,1
"C00009",1,1,1
"K04761",0.997717479795922,0.998858045206957,0.998287762501439
"K00016",0.994810455777304,0.997401786643883,0.996106121210594
"K02112",0.994474505342159,0.997233420394233,0.995853962868196
"K01875",0.994441862520629,0.997217067599541,0.995829465060085
"K01689",0.993040594870383,0.996514226091309,0.994777410480846
"K00969",0.992874995502877,0.996431098891509,0.994653047197193
"K00525",0.992104875298151,0.996044601488592,0.994074738393372
"K01736",0.990601869573822,0.995289869746252,0.992945869660037
"K05366",0.990427627494365,0.995202288276244,0.992814957885305
"K01876",0.989349868077426,0.994660685057654,0.99200527656754
"K01738",0.988901546842584,0.994435283387257,0.99166841511492
"K03596",0.988694931862496,0.994331402399447,0.991513167130971
"K00287",0.988685539576824,0.994326715641862,0.991506127609343
"K04567",0.98767804407489,0.993819949663043,0.990748996868967
"K01938",0.987119852012516,0.993539011508811,0.990329431760663
"K02113",0.986478948915793,0.993216468167107,0.98984770854145
"K02115",0.986372677204526,0.993162966698083,0.989767821951304
"K02109",0.986350992898027,0.993152052044501,0.989751522471264
"K01924",0.986005117384269,0.992977904533105,0.989491510958687
"K01868",0.984370201982897,0.992154328230434,0.988262265106666
"K01890",0.983639594082771,0.991786100728805,0.987712847405788
"K01687",0.982994210186187,0.991460657586989,0.987227433886588
"K01881",0.982750856471176,0.991337945884319,0.987044401177747
"K00075",0.982341816794619,0.991131606804801,0.98673671179971
"K01735",0.981942510901665,0.990930147351264,0.986436329126464
"K09903",0.981392422118992,0.990652548935344,0.986022485527168
"K03076",0.98054723822039,0.990225860627727,0.985386549424059
"K00891",0.980538727743919,0.990221550144814,0.985380138944367
"K00826",0.97981821284914,0.989857685375549,0.984837949112345
"K00789",0.979553162032838,0.989723810937902,0.98463848648537
"K00762",0.979319469514166,0.989605716462976,0.984462592988571
"K01889",0.978620443750263,0.989252491659903,0.983936467705083
"K01491",0.978530090448108,0.989206822717565,0.983868456582836
"K01783",0.978411779302895,0.989147023611578,0.983779401457237
"K00806",0.978374609953513,0.989128238020843,0.983751423987178
"K03671",0.977888409845446,0.98888240522755,0.983385407536498
"K01925",0.977105114899392,0.988486306738427,0.982795710818909
"K03075",0.976953411528438,0.988409563222351,0.982681487375394
"K01874",0.976878829980556,0.988371782890103,0.98262530643533
"K02108",0.976406285453261,0.988132742526376,0.982269513989818
"K00761",0.976221413892117,0.988039200608035,0.982130307250076
"K00796",0.97593687906239,0.987895149539671,0.98191601430103
"K03106",0.975813614656456,0.987832818899295,0.981823216777876
"K01867",0.975545046218926,0.98769686869166,0.981620957455293
"K00088",0.975528591570516,0.987688511215384,0.98160855139295
"K02563",0.975319213464019,0.987582532461738,0.981450872962878
"K00954",0.975085342410011,0.987464120594771,0.981274731502391
"K00873",0.975021479967674,0.987431770327494,0.981226625147584
"K01588",0.974470303563723,0.987152645338506,0.980811474451114
"K02111",0.974000936567238,0.986914873436518,0.980457905001878
"K01703",0.973676260473209,0.986750299830913,0.980213280152061
"K00763",0.97357589751954,0.986699459332201,0.980137678425871
"K00858",0.97253428860537,0.986171560516126,0.979352924560748
"K01424",0.972455610820071,0.986131663138782,0.979293636979426
"K00560",0.972295304441474,0.986050383133575,0.979172843787524
"K00939",0.97192402951464,0.985862109425876,0.978893069470258
"K01933",0.971813701765854,0.985806144328567,0.978809923047211
"K01866",0.9717604265167,0.985779123785694,0.978769775151197
"K01624",0.971138180546878,0.98546341133918,0.978300795943029
"K03685",0.970912781739909,0.98534909136002,0.978130936549964
"K03217",0.970729438359905,0.985256019889688,0.977992729124796
"K01892",0.970704449421555,0.985243376469399,0.977973912945477
"K01586",0.970562417498823,0.985171270434591,0.977866843966707
"K02114",0.970463309200777,0.98512097914508,0.977792144172928
"K00600",0.970170406839633,0.984972301324125,0.977571354081879
"K02825",0.970137828826233,0.984955775934821,0.977546802380527
"K03210",0.968777831643123,0.98426516077362,0.976521496208371
"K03110",0.968771198138677,0.984261784198729,0.976516491168703
"K01872",0.968602380966422,0.98417602956911,0.976389205267766
"K06949",0.967524925442511,0.983628473459377,0.975576699450944
"K01883",0.967482612429486,0.983606979432441,0.975544795930963
"K01710",0.967373167563279,0.983551292969988,0.975462230266633
"K01915",0.96732277695792,0.983525688093139,0.97542423252553
"K00215",0.967195654056082,0.98346107106432,0.975328362560201
"K00790",0.966997577142554,0.98336037183584,0.975178974489197
"K01928",0.966541949466803,0.983128655663595,0.974835302565199
"K11753",0.966379789682472,0.983046215809805,0.974713002746138
"K00057",0.966120592756051,0.982914365168805,0.974517478962428
"K01887",0.965976061838862,0.982840839762186,0.974408450800524
"K01956",0.9657245181336,0.982712821050003,0.974218669591802
"K00526",0.965407561312852,0.98255154739211,0.973979554352481
"K02313",0.965395762252659,0.982545588846414,0.973970675549537
