-8.25073,6.24806,09K95A
11.4758,-8.8236,0VM1CI
19.4686,-15.2315,1RGWDX
-3.29414,2.27458,1T56G4
1.62018,2.82945,26QQrO
-19.2502,15.8767,4XSG4Y
-11.1816,7.79481,5MKWBH
-0.732462,-7.95925,6LVPX8
6.1859,-10.7602,9XELA5
1.78692,12.9438,9XNMJT
-6.85572,1.29191,DLODDN
6.12222,-3.5537,DZVZH0
-2.85751,1.29612,EPJUNL
4.17721,-6.83785,EUQG8X
10.4951,-11.5732,F80LGF
-1.30931,-3.78333,F9HJUU
9.48037,-7.27614,FMFSCB
15.4404,-5.4353,G7E225
-12.2259,2.27185,H6CSMA
4.59635,2.60981,I5N225
-19.7013,6.05088,J1O0BL
2.50517,2.07991,J3UYDR
-11.0747,6.19361,JDWAOR
-5.12788,-0.89474,LYDUBY
-10.0908,11.6053,MKBDBY
-2.57694,1.67885,N5IZ3L
-3.45396,2.66212,NDBDKD
4.31457,2.38798,O3VQFQ
18.9132,-9.21278,QBC0SD
17.4319,0.780402,T80OF8
-2.94486,4.15265,U6GTOL
-6.7969,-0.514475,UMKISW
2.41858,1.79757,VSTPH2
3.37004,-9.21831,W5FDMV
-13.3158,10.9659,XAD1I4
-3.15226,-0.448468,XXN4TH
10.6488,-2.18184,XYBF9C
-1.16859,1.27034,Y45ETC
-0.260586,0.00459323,YP7H46
-14.0745,11.013,ZIBR7F
9.24538,-14.3754,ZP6YP4
