-8.94953,09K95A,0
-16.3252,0VM1CI,1
-11.9876,1RGWDX,1
9.83032,1T56G4,0
10.6008,26QQrO,0
33.218,4XSG4Y,1
14.0749,5MKWBH,0
5.29125,6LVPX8,1
-8.98582,9XELA5,2
-2.49155,9XNMJT,2
-9.1627,DLODDN,2
-6.57078,DZVZH0,2
31.4614,EPJUNL,1
-35.6904,EUQG8X,1
-11.9526,F80LGF,0
24.4653,F9HJUU,0
13.8124,FMFSCB,2
-38.9854,G7E225,2
31.7567,H6CSMA,1
-1.18544,I5N225,1
-1.27992,J1O0BL,0
21.8729,J3UYDR,0
6.75577,JDWAOR,0
-31.1396,LYDUBY,2
-0.0570005,MKBDBY,0
41.5945,N5IZ3L,0
-4.91803,NDBDKD,2
-47.2025,O3VQFQ,1
-5.29251,QBC0SD,2
-32.8786,T80OF8,2
0.0487675,U6GTOL,0
7.75067,UMKISW,1
1.82388,VSTPH2,2
-22.1321,W5FDMV,1
-31.8512,XAD1I4,0
28.9518,XXN4TH,0
11.9684,XYBF9C,1
-1.88531,Y45ETC,2
-14.6556,YP7H46,1
43.4964,ZIBR7F,1
5.63784,ZP6YP4,2
