-8.41899,-6.02381,09K95A
2.49462,-9.24319,0VM1CI
8.5755,-11.7527,1RGWDX
-2.99473,8.91185,1T56G4
0.469451,-2.07546,26QQrO
-10.966,11.7369,4XSG4Y
-13.0463,-6.47317,5MKWBH
-2.35224,6.59539,6LVPX8
11.2327,7.37393,9XELA5
-1.56841,13.105,9XNMJT
-2.01433,-4.29508,DLODDN
3.59358,-4.00331,DZVZH0
3.61725,1.16338,EPJUNL
13.8262,1.02085,EUQG8X
8.54721,-15.4225,F80LGF
0.0335705,-3.98352,F9HJUU
7.69367,1.74978,FMFSCB
6.08888,-5.56528,G7E225
-23.8697,0.403756,H6CSMA
-0.861146,4.2143,I5N225
-8.86193,-7.14458,J1O0BL
6.91445,-1.50059,J3UYDR
-9.91507,5.62379,JDWAOR
3.51326,-1.63072,LYDUBY
-11.9553,2.14697,MKBDBY
-1.25979,5.29619,N5IZ3L
-3.08629,-10.0697,NDBDKD
2.24845,-0.25318,O3VQFQ
13.1074,-3.77229,QBC0SD
7.37998,-6.19091,T80OF8
-1.21084,-0.426199,U6GTOL
-6.16385,9.17581,UMKISW
0.133112,0.539614,VSTPH2
7.53022,6.39046,W5FDMV
-11.172,-0.853429,XAD1I4
1.02672,-1.41344,XXN4TH
12.5868,0.401924,XYBF9C
-2.65398,15.1083,Y45ETC
-0.458657,-2.36101,YP7H46
-10.7134,2.97468,ZIBR7F
11.62,-0.405163,ZP6YP4
