-4.94713,09K95A,0
-7.10693,0VM1CI,1
-5.31521,1RGWDX,1
4.92452,1T56G4,0
-2.32211,26QQrO,0
-5.30221,4XSG4Y,1
10.1665,5MKWBH,0
1.12606,6LVPX8,1
2.65553,9XELA5,2
10.4787,9XNMJT,2
-6.06995,DLODDN,2
-8.45199,DZVZH0,2
-2.82486,EPJUNL,1
21.1011,EUQG8X,1
-3.79788,F80LGF,0
-2.74421,F9HJUU,0
-0.643242,FMFSCB,2
0.399256,G7E225,2
-14.6005,H6CSMA,1
-5.80169,I5N225,1
-13.1643,J1O0BL,0
4.34215,J3UYDR,0
-5.8167,JDWAOR,0
-3.64035,LYDUBY,2
5.4061,MKBDBY,0
-1.21144,N5IZ3L,0
12.9122,NDBDKD,2
4.80437,O3VQFQ,1
1.82638,QBC0SD,2
8.71081,T80OF8,2
-10.48,U6GTOL,0
8.18765,UMKISW,1
0.832356,VSTPH2,2
9.48832,W5FDMV,1
-9.88292,XAD1I4,0
-1.32147,XXN4TH,0
-1.86429,XYBF9C,1
9.10712,Y45ETC,2
1.06622,YP7H46,1
-13.575,ZIBR7F,1
7.50653,ZP6YP4,2
