59.68166,09K95A,0
45.75057,0VM1CI,1
-22.4734,1RGWDX,1
39.70111,1T56G4,0
-99.02357,26QQrO,0
119.4188,4XSG4Y,1
2.462109,5MKWBH,0
-145.0141,6LVPX8,1
46.01577,9XELA5,2
126.8626,9XNMJT,2
14.93694,DLODDN,2
-13.97035,DZVZH0,2
39.57651,EPJUNL,1
-58.93077,EUQG8X,1
-80.71213,F80LGF,0
-9.130535,F9HJUU,0
-35.74647,FMFSCB,2
-10.35071,G7E225,2
54.79095,H6CSMA,1
63.54267,I5N225,1
63.44497,J1O0BL,0
-9.736896,J3UYDR,0
95.78184,JDWAOR,0
-121.4344,LYDUBY,2
-6.595014,MKBDBY,0
86.99004,N5IZ3L,0
-5.403311,NDBDKD,2
51.90199,O3VQFQ,1
-39.27111,QBC0SD,2
-101.593,T80OF8,2
19.94686,U6GTOL,0
-88.67203,UMKISW,1
-45.64033,VSTPH2,2
-34.73153,W5FDMV,1
82.76044,XAD1I4,0
-176.5923,XXN4TH,0
35.55599,XYBF9C,1
68.53357,Y45ETC,2
-101.1122,YP7H46,1
91.93338,ZIBR7F,1
-3.454548,ZP6YP4,2
