54.02711,09K95A,0
23.91641,0VM1CI,1
-55.13841,1RGWDX,1
49.64205,1T56G4,0
-39.0282,26QQrO,0
245.6244,4XSG4Y,1
77.64055,5MKWBH,0
-169.6127,6LVPX8,1
4.690247,9XELA5,2
16.79123,9XNMJT,2
-36.99892,DLODDN,2
-93.70325,DZVZH0,2
-32.54575,EPJUNL,1
-45.29963,EUQG8X,1
-58.29956,F80LGF,0
-9.650177,F9HJUU,0
-27.09927,FMFSCB,2
7.960853,G7E225,2
136.5926,H6CSMA,1
-41.29271,I5N225,1
-79.01028,J1O0BL,0
-8.907448,J3UYDR,0
-33.40092,JDWAOR,0
-58.4327,LYDUBY,2
28.52461,MKBDBY,0
11.97912,N5IZ3L,0
-59.50646,NDBDKD,2
-6.20694,O3VQFQ,1
-100.4287,QBC0SD,2
-8.777164,T80OF8,2
-117.7968,U6GTOL,0
-50.956,UMKISW,1
77.9098,VSTPH2,2
26.79765,W5FDMV,1
158.5936,XAD1I4,0
-66.2257,XXN4TH,0
53.92119,XYBF9C,1
56.69907,Y45ETC,2
-50.88026,YP7H46,1
62.07803,ZIBR7F,1
-73.55005,ZP6YP4,2
